,,,,,,,,,TCost,TCost,TCost,TCost,TCost,Cost,Cost,Cost,Cost,Cost,Park,Park,Park,Park,Park,TTime,TTime,TTime,TTime,TTime,VehTime,VehTime,VehTime,VehTime,VehTime,AccTime,AccTime,AccTime,AccTime,AccTime,WTime,WTime,WTime,WTime,WTime,SafeTime,SafeTime,SafeTime,SafeTime,SafeTime,Trans,Trans,Trans,Trans,Trans,Delay,Delay,Delay,Delay,Delay,WC,WC,WC,WC,WC,ChkIn,ChkIn,ChkIn,ChkIn,ChkIn,,,,,,,,,,,,,,,
,,,,,,,,,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,,,,,,,,,,,,,,,
,,,,,,2,3,4,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
No,Scenarios,ScenarioNumber,GroupID,IndID,MODE,TripPur_SP,ChkLug,Accomp,TCost_MT,TCost_Car,TCost_Taxi,TCost_Bus,TCost_VCAT,Cost_MT,Cost_Car,Cost_Taxi,Cost_Bus,Cost_VCAT,Park_MT,Park_Car,Park_Taxi,Park_Bus,Park_VCAT,TTime_MT,TTime_Car,TTime_Taxi,TTime_Bus,TTime_VCAT,VehTime_MT,VehTime_Car,VehTime_Taxi,VehTime_Bus,VehTime_VCAT,AccTime_MT,AccTime_Car,AccTime_Taxi,AccTime_Bus,AccTime_VCAT,WTime_MT,WTime_Car,WTime_Taxi,WTime_Bus,WTime_VCAT,SafeTime_MT,SafeTime_Car,SafeTime_Taxi,SafeTime_Bus,SafeTime_VCAT,Trans_MT,Trans_Car,Trans_Taxi,Trans_Bus,Trans_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,WC_MT,WC_Car,WC_Taxi,WC_Bus,WC_VCAT,ChkIn_MT,ChkIn_Car,ChkIn_Taxi,ChkIn_Bus,ChkIn_VCAT,Gender,Age,Married,Nat,Resident,Job,Edu,Veh_Own,DrL,Ind_MT,HH_MT,Ind_Car,HH_car,MODE_Main,CarB_Fu
542,S8,8,4,271,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,31-40,single,Spain,foreigner,other: Parmacist,master/doctor,no,both,0,0,0,1,other: bike,none
543,S2,2,2,272,motorbike,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,31-40,single,Spain,foreigner,other: Parmacist,master/doctor,yes,both,1,2,0,1,Motorbike,less 5
544,S4,4,2,272,motorbike,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,31-40,single,Spain,foreigner,other: Parmacist,master/doctor,yes,both,1,2,0,1,Motorbike,less 5
545,S6,6,4,273,airport bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,31-40,single,Australia,foreigner,Professor/Teacher,master/doctor,no,car,0,0,0,0,Tuk-tuk/Jumbo,none
546,S8,8,4,273,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,31-40,single,Australia,foreigner,Professor/Teacher,master/doctor,no,car,0,0,0,0,Tuk-tuk/Jumbo,none
547,S5,5,3,274,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,31-40,married,German,foreigner,Businessperson,master/doctor,yes,car,0,0,0,0,Private car,less 5
548,S7,7,3,274,airport bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,31-40,married,German,foreigner,Businessperson,master/doctor,yes,car,0,0,0,0,Private car,less 5
549,S6,6,4,275,limousine bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,German,foreigner,Businessperson,under or high school,yes,both,0,0,1,0,public bus,none
550,S8,8,4,275,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,German,foreigner,Businessperson,under or high school,yes,both,0,0,1,0,public bus,none
551,S5,5,3,276,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,German,foreigner,Businessperson,master/doctor,share with other,car,0,0,1,1,other: subway,less 5
552,S7,7,3,276,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,German,foreigner,Businessperson,master/doctor,share with other,car,0,0,1,1,other: subway,less 5
553,S5,5,3,277,airport bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,51-60,married,0,foreigner,Professor/Teacher,master/doctor,yes,car,0,0,3,0,public bus,none
554,S7,7,3,277,airport bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,51-60,married,0,foreigner,Professor/Teacher,master/doctor,yes,car,0,0,3,0,public bus,none
555,S5,5,3,278,airport bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,51-60,married,USA,foreigner,Businessperson,college,yes,car,0,0,0,3,Private car,less 5
556,S7,7,3,278,airport bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,51-60,married,USA,foreigner,Businessperson,college,yes,car,0,0,0,3,Private car,less 5
557,S5,5,3,279,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,31-40,single,Dutch,foreigner,Retired/Unemployed,master/doctor,no,car,0,0,0,0,public bus,less 5
558,S7,7,3,279,airport bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,31-40,single,Dutch,foreigner,Retired/Unemployed,master/doctor,no,car,0,0,0,0,public bus,less 5
559,S5,5,3,280,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,31-40,married,Lao,Vientiane,Government official,master/doctor,yes,car,0,0,0,0,Private car,none
560,S7,7,3,280,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,31-40,married,Lao,Vientiane,Government official,master/doctor,yes,car,0,0,0,0,Private car,none
561,S6,6,4,281,limousine bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,master/doctor,yes,both,2,0,1,0,Motorbike,none
562,S8,8,4,281,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,master/doctor,yes,both,2,0,1,0,Motorbike,none
563,S6,6,4,282,limousine bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,master/doctor,yes,both,1,0,1,0,Private car,5 – 10
564,S8,8,4,282,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,master/doctor,yes,both,1,0,1,0,Private car,5 – 10
565,S1,1,1,283,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,Above 60,single,Lao,Vientiane,Student/pupil,college,yes,no,0,0,0,0,Private car,none
566,S3,3,1,283,car,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,Above 60,single,Lao,Vientiane,Student/pupil,college,yes,no,0,0,0,0,Private car,none
567,S1,1,1,284,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,Above 60,married,Lao,Vientiane,Private firm employee,Bachelor,no,both,1,0,0,0,Motorbike,above 10
568,S3,3,1,284,car,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,Above 60,married,Lao,Vientiane,Private firm employee,Bachelor,no,both,1,0,0,0,Motorbike,above 10
569,S5,5,3,285,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Lao,Vientiane,Government official,Bachelor,yes,car,0,0,2,3,Private car,5 – 10
570,S7,7,3,285,car,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Lao,Vientiane,Government official,Bachelor,yes,car,0,0,2,3,Private car,5 – 10
571,S1,1,1,286,airport bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Lao,Vientiane,Student/pupil,college,yes,both,1,1,1,2,Private car,less 5
572,S3,3,1,286,airport bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Lao,Vientiane,Student/pupil,college,yes,both,1,1,1,2,Private car,less 5
573,S1,1,1,287,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,Above 60,single,Lao,Vientiane,Private firm employee,Bachelor,yes,both,0,0,1,3,Private car,5 – 10
574,S3,3,1,287,airport bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,Above 60,single,Lao,Vientiane,Private firm employee,Bachelor,yes,both,0,0,1,3,Private car,5 – 10
575,S1,1,1,288,airport bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,Above 60,single,Lao,Vientiane,Student/pupil,Bachelor,yes,car,0,0,1,3,Private car,less 5
576,S3,3,1,288,airport bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,Above 60,single,Lao,Vientiane,Student/pupil,Bachelor,yes,car,0,0,1,3,Private car,less 5
577,S1,1,1,289,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Businessperson,master/doctor,yes,both,0,0,2,4,Private car,less 5
578,S3,3,1,289,airport bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Businessperson,master/doctor,yes,both,0,0,2,4,Private car,less 5
579,S1,1,1,290,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Lao,Vientiane,Student/pupil,college,yes,both,0,0,1,4,Private car,less 5
580,S3,3,1,290,airport bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Lao,Vientiane,Student/pupil,college,yes,both,0,0,1,4,Private car,less 5
581,S1,1,1,291,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Lao,Vientiane,Student/pupil,college,yes,car,0,0,1,2,Private car,less 5
582,S3,3,1,291,airport bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Lao,Vientiane,Student/pupil,college,yes,car,0,0,1,2,Private car,less 5
583,S1,1,1,292,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Lao,Vientiane,Student/pupil,college,yes,both,0,0,1,4,Private car,less 5
584,S3,3,1,292,taxi,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Lao,Vientiane,Student/pupil,college,yes,both,0,0,1,4,Private car,less 5
585,S1,1,1,293,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,single,Lao,Vientiane,Student/pupil,college,yes,car,1,4,0,0,public bus,above 10
586,S3,3,1,293,limousine bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,single,Lao,Vientiane,Student/pupil,college,yes,car,1,4,0,0,public bus,above 10
587,S1,1,1,294,airport bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,51-60,single,Lao,Vientiane,Student/pupil,college,yes,car,0,0,1,4,Private car,less 5
588,S3,3,1,294,taxi,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,51-60,single,Lao,Vientiane,Student/pupil,college,yes,car,0,0,1,4,Private car,less 5
589,S6,6,4,295,airport bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,master/doctor,yes,both,0,0,1,2,Private car,above 10
590,S8,8,4,295,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,master/doctor,yes,both,0,0,1,2,Private car,above 10
591,S1,1,1,296,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Private firm employee,Bachelor,yes,motorbike,1,3,1,2,Private car,5 – 10
592,S3,3,1,296,limousine bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Private firm employee,Bachelor,yes,motorbike,1,3,1,2,Private car,5 – 10
593,S1,1,1,297,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,less or 20,married,Lao,Vientiane,Government official,Bachelor,yes,both,0,0,0,0,Private car,less 5
594,S3,3,1,297,limousine bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,less or 20,married,Lao,Vientiane,Government official,Bachelor,yes,both,0,0,0,0,Private car,less 5
595,S1,1,1,298,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,less or 20,married,Lao,Vientiane,Government official,master/doctor,yes,car,1,0,1,0,Private car,none
596,S3,3,1,298,car,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,less or 20,married,Lao,Vientiane,Government official,master/doctor,yes,car,1,0,1,0,Private car,none
597,S1,1,1,299,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,Above 60,single,Lao,Vientiane,Student/pupil,college,yes,car,0,0,1,2,Private car,none
